regime,topology_class,antenna_bin,feature,coefficient
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,prior_sq,0.00372654815692
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,prior,-0.760152486409
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,log1p_d2d,5.44338012973
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,density_15,0.433359428618
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,density_41,-22.1210348329
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,height_15,3.31997880427
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,height_41,-0.46784012358
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,density_41_x_logd,3.34432544737
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_15,1.20463572082
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_41,22.4064097843
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_41_x_logd,-3.43340357258
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,shadow_sigma,-5.87789846581
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,theta_norm,-4.48035835284
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_41_x_theta,-8.58731296948
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,bias,150.387471182
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,prior_sq,0.00234456004103
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,prior,-0.61906066149
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,log1p_d2d,5.50884899975
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,density_15,2.34619421751
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,density_41,-27.7602893704
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,height_15,6.57011797213
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,height_41,9.52003509358
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,density_41_x_logd,3.75754713227
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_15,1.91614976221
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_41,5.58046547555
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_41_x_logd,-0.72856805763
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,shadow_sigma,-7.1044605223
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,theta_norm,-15.1325218135
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_41_x_theta,-0.0674882176474
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,bias,165.957072127
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,prior_sq,0.0057371449012
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,prior,-1.40984386999
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,log1p_d2d,4.1128966099
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,density_15,1.31208966174
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,density_41,-34.5613079598
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,height_15,6.20904979268
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,height_41,6.47576990956
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,density_41_x_logd,5.23591992916
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,nlos_15,1.36896421912
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,nlos_41,12.4044124509
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,nlos_41_x_logd,-1.79928876575
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,shadow_sigma,-3.67409941206
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,theta_norm,-7.71489249491
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,nlos_41_x_theta,-5.82106544884
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,bias,195.5709152
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,prior_sq,-0.000338483256493
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,prior,-0.0265571609647
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,log1p_d2d,8.23328792464
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,density_15,-1.4516579715
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,density_41,-11.6586662187
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,height_15,3.50808699601
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,height_41,-5.61068592263
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,density_41_x_logd,1.90418333468
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,nlos_15,0.926117149604
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,nlos_41,12.0841466046
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,nlos_41_x_logd,-1.628002135
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,shadow_sigma,-7.48655537076
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,theta_norm,-12.6647750527
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,nlos_41_x_theta,-10.9589666071
mixed_midrise|NLoS|high_ant,mixed_midrise,high_ant,bias,121.479543323
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,prior_sq,0.00457261856296
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,prior,-1.07739555717
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,log1p_d2d,2.54183480336
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,density_15,1.67681583739
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,density_41,-43.1414903713
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,height_15,11.1579180551
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,height_41,10.2879724642
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,density_41_x_logd,6.67811976547
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,nlos_15,1.78114598763
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,nlos_41,3.77775890599
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,nlos_41_x_logd,-0.589959542178
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,shadow_sigma,-7.42100106168
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,theta_norm,-19.0322354148
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,nlos_41_x_theta,-0.578854213309
mixed_midrise|NLoS|low_ant,mixed_midrise,low_ant,bias,206.255654637
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,prior_sq,0.00363200982752
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,prior,-0.994250708294
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,log1p_d2d,6.66320528238
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,density_15,-0.0963428179588
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,density_41,-28.5825372218
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,height_15,12.7087652332
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,height_41,0.178698509726
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,density_41_x_logd,4.37370542414
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,nlos_15,1.51457456822
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,nlos_41,16.5096928208
mixed_midrise|NLoS|mid_ant,mixed_midrise,mid_ant,nlos_41_x_logd,-2.63606325921
