split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
validation,baseline,full,Complete recalibrated prior,1.8869429183878346,0.0,1.201293627664334,1.7388435440665015,1.1235884664395341,382752235,3.187857205763462,2.156642607539392,31131895
validation,NLoS,without_cost231,Without COST231 term,1.887044157617947,0.00010123923011251534,1.2013708189632952,1.7388435440665015,1.1235884664395341,382752235,3.18865380400915,2.1576688301196154,31131895
validation,NLoS,without_distance,Without distance terms,1.8889692149720214,0.0020262965841868485,1.2025297140462983,1.7388435440665015,1.1235884664395341,382752235,3.203771470283611,2.1730758036812974,31131895
validation,NLoS,without_building_density,Without local building density,1.8966946933932378,0.009751775005403251,1.2086991001017773,1.7388435440665015,1.1235884664395341,382752235,3.2638879461286257,2.2550949348715466,31131895
validation,NLoS,without_building_height,Without local building height,1.887944790986677,0.0010018725988423238,1.202109374801308,1.7388435440665015,1.1235884664395341,382752235,3.195733550494923,2.1674875880356494,31131895
validation,NLoS,without_local_visibility,Without local NLoS fractions,1.8898830243203668,0.0029401059325322443,1.2028698477770559,1.7388435440665015,1.1235884664395341,382752235,3.2109281634641187,2.177597724150264,31131895
validation,NLoS,without_shadow_sigma,Without shadowing spread proxy,1.8890041766533545,0.0020612582655199496,1.2021028867815537,1.7388435440665015,1.1235884664395341,382752235,3.2040455105133607,2.167401332816959,31131895
validation,NLoS,without_elevation,Without elevation terms,1.887779132389282,0.0008362140014475106,1.201467562974582,1.7388435440665015,1.1235884664395341,382752235,3.1944322568716026,2.1589549969573274,31131895
validation,NLoS,without_interactions,Without interaction terms,1.8899519661042286,0.0030090477163939866,1.2029407166037527,1.7388435440665015,1.1235884664395341,382752235,3.2114675890116664,2.1785398923890265,31131895
validation,NLoS,without_local_morphology,Without all local morphology and visibility,1.9168640698001844,0.029921151412349856,1.219986958273291,1.7388435440665015,1.1235884664395341,382752235,3.4169491926843247,2.4051617829988543,31131895
