regime,topology_class,antenna_bin,feature,coefficient
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,pl_c,-0.0982209152087
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,log1p_d2d,8.07177480966
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,density_15,-0.613267295121
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,density_41,-16.9527751986
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,height_15,3.30024123229
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,height_41,-3.88920615448
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,density_41_x_logd,2.69484594591
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_15,1.16225081305
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_41,19.227897597
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_41_x_logd,-2.83280374943
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,shadow_sigma,-8.19483219163
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,theta_norm,-14.1726622154
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,nlos_41_x_theta,-9.18355749353
dense_highrise|NLoS|high_ant,dense_highrise,high_ant,bias,130.520189749
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,pl_c,0.108615299931
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,log1p_d2d,3.98001956636
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,density_15,2.21007299551
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,density_41,-27.0541756717
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,height_15,7.51624660104
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,height_41,3.30990181166
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,density_41_x_logd,3.68434809591
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_15,2.51291695649
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_41,-1.46591050058
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_41_x_logd,0.303411876972
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,shadow_sigma,-10.4364342164
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,theta_norm,-19.2820873361
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,nlos_41_x_theta,3.86967595973
dense_highrise|NLoS|low_ant,dense_highrise,low_ant,bias,141.156915197
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,pl_c,0.117467497303
dense_highrise|NLoS|mid_ant,dense_highrise,mid_ant,log1p_d2d,3.32093254911
