left_m,right_m,mid_m,count,density,probability
10.0,13.0,11.5,5,0.0001030078286,0.0003090234858
13.0,16.0,14.5,31,0.0006386485373,0.001915945612
16.0,19.0,17.5,71,0.001462711166,0.004388133498
19.0,22.0,20.5,159,0.003275648949,0.009826946848
22.0,25.0,23.5,220,0.004532344458,0.01359703337
25.0,28.0,26.5,262,0.005397610218,0.01619283066
28.0,31.0,29.5,309,0.006365883807,0.01909765142
31.0,34.0,32.5,376,0.00774618871,0.02323856613
34.0,37.0,35.5,390,0.00803461063,0.02410383189
37.0,40.0,38.5,492,0.01013597033,0.030407911
40.0,43.0,41.5,500,0.01030078286,0.03090234858
43.0,46.0,44.5,525,0.010815822,0.03244746601
46.0,49.0,47.5,466,0.009600329625,0.02880098888
49.0,52.0,50.5,493,0.0101565719,0.0304697157
52.0,55.0,53.5,516,0.01063040791,0.03189122373
55.0,58.0,56.5,510,0.01050679852,0.03152039555
58.0,61.0,59.5,503,0.01036258756,0.03108776267
61.0,64.0,62.5,521,0.01073341574,0.03220024722
64.0,67.0,65.5,433,0.008920477956,0.02676143387
67.0,70.0,68.5,480,0.009888751545,0.02966625464
70.0,73.0,71.5,456,0.009394313968,0.0281829419
73.0,76.0,74.5,409,0.008426040379,0.02527812114
76.0,79.0,77.5,373,0.007684384013,0.02305315204
79.0,82.0,80.5,385,0.007931602802,0.02379480841
82.0,85.0,83.5,322,0.006633704162,0.01990111248
85.0,88.0,86.5,329,0.006777915122,0.02033374536
88.0,91.0,89.5,286,0.005892047796,0.01767614339
91.0,94.0,92.5,258,0.005315203956,0.01594561187
94.0,97.0,95.5,238,0.004903172641,0.01470951792
97.0,100.0,98.5,212,0.004367531932,0.0131025958
100.0,103.0,101.5,215,0.00442933663,0.01328800989
103.0,106.0,104.5,181,0.003728883395,0.01118665019
106.0,109.0,107.5,178,0.003667078698,0.01100123609
109.0,112.0,110.5,155,0.003193242686,0.009579728059
112.0,115.0,113.5,133,0.002740008241,0.008220024722
115.0,118.0,116.5,151,0.003110836424,0.009332509271
118.0,121.0,119.5,138,0.002843016069,0.008529048208
121.0,124.0,122.5,102,0.002101359703,0.00630407911
124.0,127.0,125.5,96,0.001977750309,0.005933250927
127.0,130.0,128.5,79,0.001627523692,0.004882571075
130.0,133.0,131.5,85,0.001751133086,0.005253399258
133.0,136.0,134.5,79,0.001627523692,0.004882571075
136.0,139.0,137.5,65,0.001339101772,0.004017305315
139.0,142.0,140.5,76,0.001565718995,0.004697156984
142.0,145.0,143.5,58,0.001194890812,0.003584672435
145.0,148.0,146.5,62,0.001277297075,0.003831891224
148.0,151.0,149.5,63,0.00129789864,0.003893695921
151.0,154.0,152.5,54,0.001112484549,0.003337453646
154.0,157.0,155.5,61,0.001256695509,0.003770086527
157.0,160.0,158.5,50,0.001030078286,0.003090234858
160.0,163.0,161.5,57,0.001174289246,0.003522867738
163.0,166.0,164.5,35,0.0007210548002,0.0021631644
166.0,169.0,167.5,58,0.001194890812,0.003584672435
169.0,172.0,170.5,41,0.0008446641945,0.002533992583
172.0,175.0,173.5,50,0.001030078286,0.003090234858
175.0,178.0,176.5,52,0.001071281417,0.003213844252
178.0,181.0,179.5,43,0.0008858673259,0.002657601978
181.0,184.0,182.5,46,0.0009476720231,0.002843016069
184.0,187.0,185.5,53,0.001091882983,0.003275648949
187.0,190.0,188.5,52,0.001071281417,0.003213844252
190.0,193.0,191.5,43,0.0008858673259,0.002657601978
193.0,196.0,194.5,41,0.0008446641945,0.002533992583
196.0,199.0,197.5,53,0.001091882983,0.003275648949
199.0,202.0,200.5,37,0.0007622579316,0.002286773795
202.0,205.0,203.5,50,0.001030078286,0.003090234858
205.0,208.0,206.5,44,0.0009064688916,0.002719406675
208.0,211.0,209.5,38,0.0007828594973,0.002348578492
211.0,214.0,212.5,43,0.0008858673259,0.002657601978
214.0,217.0,215.5,50,0.001030078286,0.003090234858
217.0,220.0,218.5,40,0.0008240626288,0.002472187886
220.0,223.0,221.5,54,0.001112484549,0.003337453646
223.0,226.0,224.5,57,0.001174289246,0.003522867738
226.0,229.0,227.5,43,0.0008858673259,0.002657601978
229.0,232.0,230.5,52,0.001071281417,0.003213844252
232.0,235.0,233.5,54,0.001112484549,0.003337453646
235.0,238.0,236.5,52,0.001071281417,0.003213844252
238.0,241.0,239.5,60,0.001236093943,0.003708281829
241.0,244.0,242.5,60,0.001236093943,0.003708281829
244.0,247.0,245.5,44,0.0009064688916,0.002719406675
247.0,250.0,248.5,47,0.0009682735888,0.002904820766
250.0,253.0,251.5,50,0.001030078286,0.003090234858
253.0,256.0,254.5,74,0.001524515863,0.00457354759
256.0,259.0,257.5,45,0.0009270704574,0.002781211372
259.0,262.0,260.5,43,0.0008858673259,0.002657601978
262.0,265.0,263.5,57,0.001174289246,0.003522867738
265.0,268.0,266.5,46,0.0009476720231,0.002843016069
268.0,271.0,269.5,55,0.001133086115,0.003399258344
271.0,274.0,272.5,60,0.001236093943,0.003708281829
274.0,277.0,275.5,59,0.001215492377,0.003646477132
277.0,280.0,278.5,48,0.0009888751545,0.002966625464
280.0,283.0,281.5,44,0.0009064688916,0.002719406675
283.0,286.0,284.5,64,0.001318500206,0.003955500618
286.0,289.0,287.5,53,0.001091882983,0.003275648949
289.0,292.0,290.5,35,0.0007210548002,0.0021631644
292.0,295.0,293.5,49,0.00100947672,0.003028430161
295.0,298.0,296.5,48,0.0009888751545,0.002966625464
298.0,301.0,299.5,48,0.0009888751545,0.002966625464
301.0,304.0,302.5,41,0.0008446641945,0.002533992583
304.0,307.0,305.5,60,0.001236093943,0.003708281829
307.0,310.0,308.5,39,0.000803461063,0.002410383189
310.0,313.0,311.5,43,0.0008858673259,0.002657601978
313.0,316.0,314.5,39,0.000803461063,0.002410383189
316.0,319.0,317.5,49,0.00100947672,0.003028430161
319.0,322.0,320.5,43,0.0008858673259,0.002657601978
322.0,325.0,323.5,50,0.001030078286,0.003090234858
325.0,328.0,326.5,36,0.0007416563659,0.002224969098
328.0,331.0,329.5,41,0.0008446641945,0.002533992583
331.0,334.0,332.5,34,0.0007004532344,0.002101359703
334.0,337.0,335.5,41,0.0008446641945,0.002533992583
337.0,340.0,338.5,44,0.0009064688916,0.002719406675
340.0,343.0,341.5,41,0.0008446641945,0.002533992583
343.0,346.0,344.5,40,0.0008240626288,0.002472187886
