city,overall_rmse_db_current,overall_rmse_db_itu3,overall_rmse_db_delta,nlos_rmse_db_current,nlos_rmse_db_itu3,nlos_rmse_db_delta,overall_mae_db_current,overall_mae_db_itu3,overall_mae_db_delta,nlos_mae_db_current,nlos_mae_db_itu3,nlos_mae_db_delta
Barcelona,1.9950806878552951,1.9943357900012437,-0.0007448978540514073,3.747289955297897,3.742913434341743,-0.004376520956153929,1.2382943105770434,1.2391483134178636,0.0008540028408201561,2.769767440898531,2.7791879817709284,0.00942054087239752
Beijing,1.8381107988682666,1.8370500618403207,-0.0010607370279458461,3.2435725518711824,3.234159108584867,-0.009413443286315548,1.165379120173079,1.1647451869225114,-0.0006339332505675976,2.2600717813802804,2.2501559093490733,-0.00991587203120714
Carcassonne,1.7097262417795767,1.7133349917832157,0.0036087500036390274,2.424868301020971,2.481757894042575,0.056889593021604234,1.099026550660059,1.1021166282998196,0.0030900776397606577,1.670580530352853,1.7404059775777048,0.06982544722485184
Copenhagen,2.047166154720267,2.048843199486372,0.0016770447661049737,3.3103853618857295,3.3215747984432777,0.011189436557548227,1.3103997877321116,1.313536887556078,0.0031370998239663717,2.308078429767521,2.341968531295386,0.03389010152786476
Halifax,1.6097335749228687,1.6148778455815078,0.005144270658639094,3.327775116140776,3.4241978556660047,0.09642273952522862,1.017889517221848,1.021901344184838,0.004011826962989851,2.21032957655091,2.367782655026982,0.15745307847607215
Jaipur,2.2267614362531125,2.2248158572343035,-0.001945579018808985,3.438006916018392,3.428710045698009,-0.009296870320382844,1.4221358046408412,1.4210969386758867,-0.0010388659649545051,2.435596736247298,2.427939313124639,-0.007657423122659157
Johannesburg,1.9064116469353332,1.9059074198741082,-0.0005042270612249933,3.156461009264909,3.1528165966308594,-0.0036444126340495764,1.2584490709476497,1.2579748508065884,-0.00047422014106124344,2.2185462265880567,2.2128737621175043,-0.005672464470552363
Key West,1.7335185110367792,1.7331362197918108,-0.000382291244968469,3.1991568301337527,3.1961593389659586,-0.0029974911677941307,1.0873574433205042,1.0867679370214318,-0.0005895062990723954,2.291330602936735,2.282803462010541,-0.008527140926194221
Kuala Lumpur,2.355172426566626,2.3503296188117497,-0.004842807754876333,4.22289955426581,4.20223133832168,-0.02066821594412982,1.4702697340132331,1.4689089403796332,-0.001360793633599977,3.0903733029332034,3.079974850241505,-0.010398452691698257
Osaka,2.5827029386670795,2.5832342004475626,0.0005312617804831277,4.053887107215265,4.055811122773527,0.0019240155582620488,1.7284398410076522,1.7198939118352365,-0.0085459291724157,2.9079707544586695,2.8593843375978776,-0.0485864168607919
Phuket,2.0688357952395973,2.0699826023340333,0.001146807094436042,3.880242835207629,3.887474063620552,0.00723122841292323,1.286046155527022,1.2866111214371696,0.0005649659101476523,2.775494637929332,2.782180554766942,0.006685916837609884
Pune,2.1814166494994187,2.182043135304017,0.0006264858045983424,3.728596096416192,3.7319124698801907,0.003316373463998712,1.3747419753134784,1.3742636829930104,-0.00047829232046803227,2.676319467407517,2.6719905125190078,-0.004328954888509262
Surat,1.6806537988438328,1.679428929821884,-0.001224869021948738,3.143095188138598,3.1320933015015306,-0.011001886637067138,1.044686938377124,1.0441642269247944,-0.0005227114523296272,2.2120747513902215,2.2033064325200855,-0.00876831887013596
Vancouver,1.817393021041346,1.822795741984904,0.0054027209435578705,3.1054592904153995,3.1655973020066033,0.0601380115912038,1.1588333497019483,1.1655869552085283,0.006753605506579996,2.081357370946177,2.210863115289507,0.12950574434333006
