scope,topology,antenna_bin,height_rule,maps,overall_rmse_db,los_rmse_db,nlos_rmse_db,overall_pixels,los_pixels,nlos_pixels
topology_antenna,suburban,low_ant,hTx <= 60 m,509,1.879726204226506,1.6813065075336822,3.3251837498444354,92518422,84575392,7943030
topology_antenna,suburban,mid_ant,60 m < hTx <= 100 m,415,1.6901119603247865,1.6257013146213055,3.0188388124182812,82810760,80077394,2733366
topology_antenna,suburban,high_ant,hTx > 100 m,531,1.5370262518519984,1.527674652887637,2.242948465381045,111745892,110558429,1187463
topology_antenna,urban,low_ant,hTx <= 60 m,319,2.619855183076614,2.0441860209422145,4.022795585740959,30728108,23855234,6872874
topology_antenna,urban,mid_ant,60 m < hTx <= 100 m,297,2.353992147034688,2.04047243788903,3.5604681620871537,36109722,30265972,5843750
topology_antenna,urban,high_ant,hTx > 100 m,324,2.007354159773681,1.93945537434254,2.8173465469828898,47109975,44086786,3023189
topology_antenna,dense_urban,low_ant,hTx <= 60 m,71,3.0033712016915715,2.2847260703566357,4.446786151868846,6452239,4767456,1684783
topology_antenna,dense_urban,mid_ant,60 m < hTx <= 100 m,61,2.7330343138242763,2.236758967912787,4.138981850057908,6681443,5322694,1358749
topology_antenna,dense_urban,high_ant,hTx > 100 m,63,2.057376408454553,1.9167659015506961,3.2593581447824054,8930558,8212448,718110
global_antenna,all,low_ant,hTx <= 60 m,899,2.143673289745982,1.7923397613573109,3.7525979709773782,129698769,113198082,16500687
global_antenna,all,mid_ant,60 m < hTx <= 100 m,773,1.9681796299322274,1.7746582389945174,3.5079515872891163,125601925,115666060,9935865
global_antenna,all,high_ant,hTx > 100 m,918,1.711740526391324,1.6696888103649052,2.761974521244276,167786425,162857663,4928762
