combination,rho_phi,itu_topology,scope,maps,overall_rmse_db,los_rmse_db,nlos_rmse_db,overall_pixels,los_pixels,nlos_pixels
with_rho_phi_with_itu,with,with,global,2590,1.928749619998359,1.7370444115023174,3.5350744501583145,423087119,391721805,31365314
with_rho_phi_with_itu,with,with,suburban,1455,1.6977046969444645,1.6047544606042463,3.1627503908853227,287075074,275211215,11863859
with_rho_phi_with_itu,with,with,urban,940,2.296086194281055,1.9966800715781465,3.6457472304028227,113947805,98207992,15739813
with_rho_phi_with_itu,with,with,dense_urban,195,2.570365450642123,2.112631568952579,4.12752810787435,22064240,18302598,3761642
with_rho_phi_without_itu,with,without,global,2590,1.9317027258975816,1.7370444115023174,3.556758424670963,423087119,391721805,31365314
with_rho_phi_without_itu,with,without,suburban,1455,1.6993899663846146,1.6047544606042463,3.184575464093439,287075074,275211215,11863859
with_rho_phi_without_itu,with,without,urban,940,2.298606687991257,1.9966800715781465,3.657227410691519,113947805,98207992,15739813
with_rho_phi_without_itu,with,without,dense_urban,195,2.5867135573495545,2.112631568952579,4.187004541307259,22064240,18302598,3761642
without_rho_phi_with_itu,without,with,global,2590,3.7292385336740956,3.7443499842355665,3.5350744501583145,423087119,391721805,31365314
without_rho_phi_with_itu,without,with,suburban,1455,3.6865304346531778,3.707446292916089,3.1627503908853227,287075074,275211215,11863859
without_rho_phi_with_itu,without,with,urban,940,3.77229613304826,3.792185516221503,3.6457472304028227,113947805,98207992,15739813
without_rho_phi_with_itu,without,with,dense_urban,195,4.044732170316797,4.0275046789030675,4.12752810787435,22064240,18302598,3761642
without_rho_phi_without_itu,without,without,global,2590,3.7307667262422153,3.7443499842355665,3.556758424670963,423087119,391721805,31365314
without_rho_phi_without_itu,without,without,suburban,1455,3.687306830933052,3.707446292916089,3.184575464093439,287075074,275211215,11863859
without_rho_phi_without_itu,without,without,urban,940,3.773830813632342,3.792185516221503,3.657227410691519,113947805,98207992,15739813
without_rho_phi_without_itu,without,without,dense_urban,195,4.0551407876320305,4.0275046789030675,4.187004541307259,22064240,18302598,3761642
